あえて	敢えて 敢て
あおあお	あをあを 青々 青青
あかあか	明明 赤々 赤赤
あくまで	アクマで 飽くまで 飽く迄 飽迄
あたかも	恰かも 恰も
あまた	居多 数多 數多
あまつさえ	剰 剰え
あまねく	徧く 普く 遍く
あらあら	粗々 荒々
あらかじめ	予め 預じめ
あらためて	改めて 更めて
いきいき	活きいき 活き活き 生々 生きいき 生き活き 生き生き
いきおい	勢 勢い
いくばく	幾ばく 幾許
いくら	幾ら 幾許
いささか	いさゝか 些か 聊か
いずくんぞ	安んぞ 焉くんぞ
いちはやく	いち早く 逸早く
いちばん	1番 一ばん 一番 １番
いっそう	一そう 一層
いったん	一たん 一旦
いっぱい	一ぱい 一杯
いはば	いはゞ 言はば
いまさら	今さら 今更
いやしくも	苟くも 苟しくも 苟も
いよいよ	弥々 弥よ 弥弥 彌 愈 愈々
いろいろ	色々 色いろ 色色
いわんや	況や 況んや
うっすら	薄っすら 薄ら
えんえん	延々 蜿蜒 蜿蜿
おいおい	追々 追い追 追い追い 追追
おうおう	往々 往往
おおいに	大いに 大に
おそるおそる	恐るおそる 恐る恐る
おなじく	同く 同じく
おもいおもい	思いおもい 思い思い
おもいのほか	思いのほか 思いの外 思ひの外
おもうさま	思うさま 思う様
おもむろに	徐に 徐ろに
かく	斯 斯く 斯ク
かっと	カっと カッと 嚇と 濶と 赫と
かつて	嘗 嘗つて 嘗て 曽て 曾て
かならず	必 必ず 必らず 必ズ
かなり	可なり 可成 可成り
かねて	予て 予ねて 兼て 兼ねて 豫て
かむながら	神ながら 随神
かれこれ	彼是 彼此
かわるがわる	代る代る 代わるがわる 代わる代わる
きちっと	キチっと キチッと
きっ	きッ きツ
きっと	キッと 屹度
きゅうきょ	急きょ 急遽
きらっ	きらッ キラっ
きんきん	僅々 近々
ぎょっと	ギョっと ギョッと
くまなく	隈なく 隈無く
くるっ	くるッ クルっ
くろぐろ	黒々 黒ぐろ 黒黒
ぐっ	ぐッ グっ
けっこう	ケッコー 結構
けっして	決して 決っして
けつぜん	決然 蹶然
けろっと	ケロっと ケロッと
げんに	厳に 現に
こう	こー 恁 斯う
こっこく	刻々 刻刻
ことごとく	尽く 悉 悉く 悉ク 盡く
ことのほか	ことの外 殊の外
こもごも	交々 交交
こわごわ	怖々 恐々
こんこん	懇々 昏々 滾々 滾滾
ごく	極 極く
ごくごく	極々 極極
さいわい	幸い 祜
さしずめ	差し詰め 差詰め
さすが	流石 遉
さむざむ	寒々 寒寒
さんざん	散々 散散
しいて	強いて 強て
しか	然か 爾
しずしず	静々 静静
したたか	健か 強か
しばしば	屡 屡々 屢 屢々 屢屢
しばらく	且く 且らく 暫 暫く 暫らく 暫ク
しぶしぶ	渋々 渋渋
しらしら	白々 白白
しんと	シンと 寂と
じっかり	確かり 確り
じっと	ジッと 凝と
じゃーん	じゃ〜ん ジャ〜ン
じゅうじゅう	ジュージュー 重々 重重
じゅうぶん	充分 十分
じゅんじゅん	順々 順順
じーんと	ジ〜ンと ジーンと
すこしく	小しく 少しく
すでに	已に 既に 業に
すべからく	須らく 須ラク
ずいぶん	ずい分 ずゐぶん 随分
ずーっと	ず〜っと ずーーっと ズーッと
せいせい	清々 清清
せいぜい	精々 精精
ぜんぜん	全然 漸々
そう	そー 然 然う
そうじて	惣じて 総じて
たいへん	大へん 大変
たかだか	高々 高高
たしか	慥か 確か
たた	多々 多多
ただ	たゞ 只 唯 徒 止
ただただ	只々 只只 唯々 唯唯
たとえ	仮令 例え 縦令
たとえば	例えば 例ば 喩えば 譬えば 譬ば
たびたび	度々 度たび 度度
たまたま	偶々 偶偶
たまに	偶に 遇に
だいぶ	大ぶ 大分
だんこ	断乎 断固
だんだん	段々 段段
ちゃくちゃく	着々 着着
ちょうど	丁度 恰度
ちょこっと	ちょこッと チョコっと チョコッと
ちょっと	チョッと 一寸 一寸と 些と 鳥渡
ついに	つゐに 了に 卒に 竟に 終に 聿に 遂に
つぎつぎ	次々 次ぎ次ぎ 次つぎ 次次
つねづね	常々 常常
つぶさに	備に 具さに
つまり	究竟 詰まり
てんてん	転々 転転
てんで	各自 手ん手
ときおり	時おり 時折 時折り
とくと	督と 篤と
とにかく	とに角 兎に角
とびとび	飛びとび 飛び飛び
ともかく	とも角 兎も角
ともども	共々 共ども
とりあえず	取りあえず 取り合えず 取り敢えず 取敢えず 取敢へず
とりわけ	取り分け 取分け
どう	ど〜 どー ドォー 何う 何（ど）う 如何
どうどう	堂々 堂堂
どっと	ドっと ドッと
どーん	ど〜ん ド〜ン
なお	仍 尚 猶
なおかつ	尚お且つ 尚かつ 尚且つ 猶且
なおさら	尚さら 尚更 猶更
なかなか	中々 中中 仲々
なかよく	仲よく 仲良く
ながなが	長々 長長
ながらく	永らく 長らく
なにとぞ	何とぞ 何卒
なるほど	なる程 成る程 成程
なんなく	難なく 難無く
ねこそぎ	根こそぎ 根刮ぎ
のびのび	伸びのび 伸び伸び
はじめて	初て 初めて 始て 始めて 始メテ
はたして	果して 果たして
はたまた	はた又 将又
はなはだ	大甚 甚だ
はや	既や 早 早や
はるか	遙か 遥か
はればれ	晴々 晴ればれ 晴れ晴れ 晴晴
ばんばん	万々 万万
ぱかっと	パカっ パカッ
ひとえに	偏えに 偏に
ひときわ	ひと際 一きわ 一際
ひとしきり	一しきり 一頻り
ひとはだ	ひと肌 一肌
ひとまず	一まず 一先ず
ひひ	比々 比比
ひやひや	冷々 冷や冷や
ひろびろ	広々 広びろ 広広
びょうびょう	渺々 渺渺
ふかぶか	深々 深深
ふたたび	ふたゝび 再び
ふっ	ふッ フっ
ふと	フと 不図
ほうふつ	彷彿 髣髴
ほそぼそ	細々 細細
ほっと	ほッと ホッと 吻と
ほのぼの	仄々 仄仄
ほほ	歩々 歩歩
ほぼ	略 粗
ほれぼれ	惚れぼれ 惚れ惚れ
ほんに	ホンに 本に
ぼうぼう	茫々 茫茫
ぼけっと	ボケっと ボケッと
ぼーっと	ボーっと ボーッと
まあ	まぁ〜 まぁー まア
まさしく	正しく 正是
まさに	当に 正に
まして	増して 況して
ますます	増々 益 益々
また	亦 又 復 還
またまた	又々 又又
まっすぐ	真っすぐ 真っ直 真っ直ぐ 真直ぐ
まったく	全く 全ク 完く
まっとう	全う 完う
まっぴら	真っ平 真平
まま	間々 間間
まるまる	丸々 丸まる 丸丸
みちみち	道々 道道
みつみつ	密々 密密
むっと	ムっと ムッと 勃然と
むりやり	無理やり 無理矢理
めちゃ	滅茶 目茶
めちゃくちゃ	滅茶苦茶 目茶苦茶
もちろん	もち論 勿論
もっとも	もつ共 尢 尤 尤も 最 最も
もともと	元々 元元
もとより	元より 固より 本より 素より
やすやす	安々 安安 易々
やや	稍 稍〻 稍稍 較
ゆめゆめ	努努 夢々
ようやく	漸く 漸ク
よく	克く 克ク 吉く 善く 好く 宜く 能 能く 能ク 良く
よどおし	夜どおし 夜通し
よろしく	夜露死苦 宜しく
よーく	よ〜く よーーーく
らくらく	楽々 楽楽
りんと	凛と 凜と 稟と
るる	縷々 縷縷
れいれい	麗々 麗麗
ろくに	ロクに 碌に
わざと	ワザと 態と
わりあい	割り合い 割合
わりと	割と 割りと
